"","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","Biotype"
"1","ENSG00000009694",73.6867321214189,8.25557702332242,1.85428702867578,4.45215702620649,8.50119595227559e-06,0.00272463330270433,"teneurin transmembrane protein 1","protein_coding"
"2","ENSG00000100031",192.257411732206,7.21631491627264,1.21088188664253,5.95955311238626,2.52928649266568e-09,3.01093490619759e-06,"gamma-glutamyltransferase 2","protein_coding"
"3","ENSG00000100031",192.257411732206,7.21631491627264,1.21088188664253,5.95955311238626,2.52928649266568e-09,3.01093490619759e-06,"inactive gamma-glutamyltranspeptidase 2-like","protein_coding"
"4","ENSG00000100031",192.257411732206,7.21631491627264,1.21088188664253,5.95955311238626,2.52928649266568e-09,3.01093490619759e-06,"gamma-glutamyltransferase 1","protein_coding"
"5","ENSG00000107736",36.1625055117163,8.61878100356743,2.24586997089491,3.83761353740934,0.000124235798217022,0.0235285660577828,"cadherin related 23","protein_coding"
"6","ENSG00000131871",393.136335415376,4.14380037542977,0.916573646874041,4.52096827086632,6.15574152372504e-06,0.00223711799268687,"selenoprotein S","protein_coding"
"7","ENSG00000134438",49.5454799924302,9.07304393334167,2.09337957379565,4.33416091707186,1.46317122363088e-05,0.00429151616919681,"retina and anterior neural fold homeobox","protein_coding"
"8","ENSG00000148082",112.696679012011,8.86644733031195,1.74916769895636,5.06895212826198,4.00011812494064e-07,0.000211642692198488,"SHC adaptor protein 3","protein_coding"
"9","ENSG00000154485",211.762385177502,7.35364123631796,1.19236721762248,6.16726217195129,6.94825037683056e-10,1.04225984842453e-06,"matrix metallopeptidase 21","protein_coding"
"10","ENSG00000162105",144.160906248583,9.22062074370963,1.70368451319921,5.4121644425792,6.22674657061367e-08,4.71704356117488e-05,"SH3 and multiple ankyrin repeat domains 2","protein_coding"
"11","ENSG00000164855",46.9827827514424,8.99642205327851,2.11646322540956,4.25068668582115,2.13116116695833e-05,0.00585212304221559,"transmembrane protein 184A","protein_coding"
"12","ENSG00000170419",78.0382666672243,7.44665592788656,1.65208326535772,4.50743378619852,6.56163976435947e-06,0.00227825600651698,"V-set and transmembrane domain containing 2A","protein_coding"
"13","ENSG00000179965",121.461747695073,8.07181016471965,1.53065878599758,5.27342229278029,1.33902965144739e-07,9.29844507125925e-05,"zinc finger protein 771","protein_coding"
"14","ENSG00000180155",46.8404106824987,8.99204357746626,2.11781287547724,4.24591033588836,2.17707685477839e-05,0.00585212304221559,"Ly6/neurotoxin 1","protein_coding"
"15","ENSG00000188859",41.9997603384107,8.83466959635278,2.16859640919253,4.07391138291256,4.62300783347388e-05,0.0107009789656494,"family with sequence similarity 78 member B","protein_coding"
"16","ENSG00000196104",55.8098510259559,9.24481149657912,2.0451685736229,4.52031759915148,6.17469264752166e-06,0.00223711799268687,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3","protein_coding"
"17","ENSG00000198840",1284.18900077168,2.87454624572744,0.740629270988013,3.88122149411235,0.000103933128133372,0.0206208275413188,"NADH dehydrogenase, subunit 3 (complex I)","protein_coding"
"18","ENSG00000198899",2461.84117683245,2.85185363706268,0.725832086627866,3.92908179398911,8.52708340183399e-05,0.0177640464968707,"ATP synthase F0 subunit 6","protein_coding"
"19","ENSG00000209082",858.962741570223,3.43925251757413,0.775986427475057,4.43210395929854,9.33180024099309e-06,0.00288007005215539,NA,"Mt_tRNA"
"20","ENSG00000210082",103105.9519401,3.54451735320538,0.751958912343368,4.71371147415411,2.43245026487583e-06,0.00112608933651168,"l-rRNA","Mt_rRNA"
"21","ENSG00000213376",39.2946910284791,8.73862200092818,2.20184849687582,3.96876624950686,7.22457061286879e-05,0.0154364992094963,NA,"processed_pseudogene"
"22","ENSG00000214872",54.1013861986307,9.1999569597803,2.05730103893166,4.47185744122201,7.75431157268591e-06,0.00258466713340767,"smoothelin like 1","protein_coding"
"23","ENSG00000222426",49.4031079234865,9.06889225856692,2.09460471364281,4.32964377455013,1.49350736717518e-05,0.00429151616919681,NA,"snRNA"
"24","ENSG00000224078",111.745938011303,4.18169054031619,1.11879719752951,3.73766626297425,0.000185736263758989,0.0336465279544272,NA,"processed_transcript"
"25","ENSG00000224078",111.745938011303,4.18169054031619,1.11879719752951,3.73766626297425,0.000185736263758989,0.0336465279544272,NA,"processed_transcript"
"26","ENSG00000228253",713.328881693416,5.60340080566304,0.991807457295494,5.64968610030686,1.60741083839834e-08,1.40562152992976e-05,"ATP synthase F0 subunit 8","protein_coding"
"27","ENSG00000230927",37.586226201154,8.67449102013739,2.22504832711356,3.89856297251321,9.67652374855242e-05,0.0196669444869969,"transmembrane BAX inhibitor motif containing 7, pseudogene","unitary_pseudogene"
"28","ENSG00000253958",59.5115248184938,9.33746137170822,2.0210890727442,4.62001477205059,3.83712723505803e-06,0.00159873906248693,"claudin 23","protein_coding"
"29","ENSG00000265028",84.5690089525964,9.84442384169614,1.91041203648917,5.15303696462653,2.5630141923632e-07,0.000152554266178304,"microRNA 4792","miRNA"
"30","ENSG00000270419",413.590860281637,12.134429123792,1.68551346881531,7.19924779498845,6.05456329419042e-13,2.52263379652444e-09,"colon adenocarcinoma hypermethylated (non-protein coding)","lincRNA"
"31","ENSG00000271303",63.0271998366776,6.587260353911,1.63280892287061,4.03431183014977,5.47625540903045e-05,0.0123334152225543,"sulfiredoxin 1","protein_coding"
