"","RNA_type","EL4.NP.ER.Son","EL4.Tot.ER","EL4.Tot","EL4.NP.SAL.Ext","EL4.NP.SAL.Son","EL4.IC.SAL.1","EL4.IC.SAL.2"
"1","snoRNA",321,285,380,439,468,45,298
"2","Mt_tRNA",19,22,22,21,22,2,21
"3","snRNA",313,292,414,386,404,34,325
"4","misc_RNA",58,31,79,89,108,16,60
"5","rRNA",131,77,91,150,156,17,121
"6","lincRNA",54,26,63,72,79,54,65
"7","Mt_rRNA",2,2,2,2,2,2,2
"8","scaRNA",19,21,26,24,26,1,5
"9","sRNA",0,0,0,0,0,0,1
"10","macro_lncRNA",0,0,0,0,0,0,0
"11","protein_coding",2681,2445,6093,4704,4585,4111,3850
"12","other",3041,2853,6992,5467,5415,4760,4597
