"","RNA_type","EL4.Click.2","EL4.Click.1","EL4.Tot.Click.1","EL4.Tot.Click.2","EL4.Tot.Click.3"
"1","snoRNA",1110,351,421,439,373
"2","snoRNA",1110,351,421,439,373
"3","snoRNA",1110,351,421,198,194
"4","snoRNA",595,298,358,176,158
"5","snoRNA",595,298,358,176,158
"6","Mt_tRNA",21,22,22,16,15
"7","snRNA",663,320,465,243,221
"8","misc_RNA",115,51,65,20,21
"9","rRNA",170,63,101,38,38
"10","lincRNA",115,101,45,49,74
"11","Mt_rRNA",2,2,2,2,2
"12","scaRNA",29,11,24,7,4
"13","sRNA",1,0,0,0,0
"14","macro_lncRNA",0,0,0,0,0
"15","protein_coding",2930,2622,2719,2816,2920
"16","other",3596,3286,3190,3308,3493
