"","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","SYMBOL","Biotype"
"1","ENSG00000099139",273.15097138532,25.3044556856646,5.39800923629964,4.68773849357304,2.76240689085194e-06,0.00387703807131069,"proprotein convertase subtilisin/kexin type 5","PCSK5","protein_coding"
"2","ENSG00000147889",91.1560883249795,12.1619870662638,2.62118311082346,4.63988456817236,3.48603843440792e-06,0.00419370423659273,"cyclin dependent kinase inhibitor 2A","CDKN2A","protein_coding"
"3","ENSG00000179979",28.6351455831316,4.5888307823642,1.16308432108347,3.94539819614239,7.96674748836315e-05,0.0372711003330589,NA,NA,"protein_coding"
"4","ENSG00000185453",80.8326988691312,7.5406948185397,1.81040764181128,4.16519166423502,3.11091104416249e-05,0.0163731136893077,"zinc finger SWIM-type containing 9","ZSWIM9","protein_coding"
"5","ENSG00000199085",14111.919031151,16.996798030551,4.32849597121392,3.92672146250936,8.61116047599705e-05,0.0381655696675638,"microRNA 148a","MIR148A","miRNA"
"6","ENSG00000202472",44.4970272315436,5.33469061440877,1.30883401484965,4.07591073725386,4.58345999907199e-05,0.0227043039130501,NA,NA,"rRNA"
"7","ENSG00000207550",334.585539074232,25.5902154792013,5.39797036952208,4.74071062406869,2.12969926460399e-06,0.00358683950144604,"microRNA 99b","MIR99B","miRNA"
"8","ENSG00000207744",65.7836569421654,23.3175688235569,5.39867610044852,4.31912720632002,1.56647476114478e-05,0.0101471415104617,"microRNA 10b","MIR10B","miRNA"
"9","ENSG00000207758",167.276249458641,24.5550120986667,5.39814311112412,4.54878864698223,5.3955598557178e-06,0.00504844550499996,"microRNA 532","MIR532","miRNA"
"10","ENSG00000245532",4756.09232901577,3.93991123146203,0.897003741212368,4.39230189401099,1.12156812479108e-05,0.00858611379896882,"nuclear paraspeckle assembly transcript 1 (non-protein coding)","NEAT1","lincRNA"
"11","ENSG00000254324",3793.14008701601,28.9805303495093,4.66890928271146,6.20713074396658,5.39607045759497e-10,4.54403093234073e-06,"microRNA 151a","MIR151A","miRNA"
"12","ENSG00000277048",1274.83106309479,7.1863451153043,1.48118711734271,4.8517469745462,1.22378690248547e-06,0.00257637737645754,NA,NA,"miRNA"
